x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.0004,0.0004,0.0004,0.0004,0.000399993,0.00039986,0.000397063,0.000469408,0.001383439,0.002484914,0.003544289,0.0004,0.0004,0.0004,0.000400007,0.00040014,0.000402937,0.000330592,-0.000583439,-0.001684914,-0.002744289,0.005534048
0.0004,0.0004,0.0004,0.0004,0.000399991,0.00039981,0.000396031,0.000518781,0.001494453,0.002594611,0.003652884,0.0004,0.0004,0.0004,0.000400009,0.00040019,0.000403969,0.000281219,-0.000694453,-0.001794611,-0.002852884,0.005747924
0.0004,0.0004,0.0004,0.000399999,0.000399988,0.000399742,0.000394653,0.000579509,0.001605117,0.002704289,0.003761479,0.0004,0.0004,0.000400001,0.000400012,0.000400258,0.000405347,0.000220491,-0.000805117,-0.001904289,-0.002961479,0.005961782
0.0004,0.0004,0.0004,0.000399999,0.000399983,0.00039965,0.000392837,0.000651609,0.001715516,0.002813956,0.003870073,0.0004,0.0004,0.000400001,0.000400017,0.00040035,0.000407163,0.000148391,-0.000915516,-0.002013956,-0.003070073,0.006175627
0.0004,0.0004,0.0004,0.000399999,0.000399977,0.000399526,0.000390554,0.00073511,0.00182571,0.002923612,0.003978666,0.0004,0.0004,0.000400001,0.000400023,0.000400474,0.000409446,6.49E-05,-0.00102571,-0.002123612,-0.003178666,0.006389462
0.0004,0.0004,0.0004,0.000399999,0.000399969,0.000399358,0.000387777,0.000830003,0.001935753,0.003033261,0.004087259,0.0004,0.0004,0.000400001,0.000400031,0.000400642,0.000412223,-3.00E-05,-0.001135753,-0.002233261,-0.003287259,0.00660329
0.0004,0.0004,0.0004,0.000399998,0.000399958,0.000399129,0.000386103,0.000936291,0.002045687,0.003142905,0.004195852,0.0004,0.0004,0.000400002,0.000400042,0.000400871,0.000413897,-0.000136291,-0.001245687,-0.002342905,-0.003395852,0.006817113
0.0004,0.0004,0.0004,0.000399997,0.000399944,0.000398819,0.000389755,0.001047656,0.00215554,0.003252546,0.004304445,0.0004,0.0004,0.000400003,0.000400056,0.000401181,0.000410245,-0.000247656,-0.00135554,-0.002452546,-0.003504445,0.007030932
0.0004,0.0004,0.0004,0.000399996,0.000399924,0.000398401,0.000404874,0.001160058,0.002265332,0.003362183,0.004413038,0.0004,0.0004,0.000400004,0.000400076,0.000401599,0.000395126,-0.000360058,-0.001465332,-0.002562183,-0.003613038,0.007244748
0.0004,0.0004,0.0004,0.000399995,0.000399897,0.000397833,0.000431424,0.001271982,0.002375081,0.003471818,0.00452163,0.0004,0.0004,0.000400005,0.000400103,0.000402167,0.000368576,-0.000471982,-0.001575081,-0.002671818,-0.00372163,0.007458561
0.0004,0.0004,0.0004,0.000399993,0.00039986,0.000397063,0.000469408,0.001383439,0.002484798,0.003581452,0.004630223,0.0004,0.0004,0.000400007,0.00040014,0.000402937,0.000330592,-0.000583439,-0.001684798,-0.002781452,-0.003830223,0.007672374
0.0004,0.0004,0.0004,0.000399991,0.00039981,0.000396031,0.000518781,0.001494453,0.00259449,0.003691085,0.004738815,0.0004,0.0004,0.000400009,0.00040019,0.000403969,0.000281219,-0.000694453,-0.00179449,-0.002891085,-0.003938815,0.007886185
0.0004,0.0004,0.000399999,0.000399988,0.000399742,0.000394653,0.000579509,0.001605117,0.002704165,0.003800716,0.004847408,0.0004,0.000400001,0.000400012,0.000400258,0.000405347,0.000220491,-0.000805117,-0.001904165,-0.003000716,-0.004047408,0.008099995
0.0004,0.0004,0.000399999,0.000399983,0.00039965,0.000392837,0.000651609,0.001715516,0.002813827,0.003910348,0.004956,0.0004,0.000400001,0.000400017,0.00040035,0.000407163,0.000148391,-0.000915516,-0.002013827,-0.003110348,-0.004156,0.008313805
0.0004,0.0004,0.000399999,0.000399977,0.000399526,0.000390554,0.00073511,0.001825709,0.002923479,0.004019978,0.005064593,0.0004,0.000400001,0.000400023,0.000400474,0.000409446,6.49E-05,-0.001025709,-0.002123479,-0.003219978,-0.004264593,0.008527614
0.0004,0.0004,0.000399999,0.000399969,0.000399358,0.000387777,0.000830003,0.001935753,0.003033124,0.004129609,0.005173185,0.0004,0.000400001,0.000400031,0.000400642,0.000412223,-3.00E-05,-0.001135753,-0.002233124,-0.003329609,-0.004373185,0.008741423
0.0004,0.0004,0.000399998,0.000399958,0.000399129,0.000386103,0.000936291,0.002045687,0.003142764,0.004239239,0.005281777,0.0004,0.000400002,0.000400042,0.000400871,0.000413897,-0.000136291,-0.001245687,-0.002342764,-0.003439239,-0.004481777,0.008955231
0.0004,0.0004,0.000399997,0.000399944,0.000398819,0.000389755,0.001047656,0.00215554,0.0032524,0.004348869,0.00539037,0.0004,0.000400003,0.000400056,0.000401181,0.000410245,-0.000247656,-0.00135554,-0.0024524,-0.003548869,-0.00459037,0.00916904
0.0004,0.0004,0.000399996,0.000399924,0.000398401,0.000404874,0.001160058,0.002265332,0.003362033,0.004458499,0.005498962,0.0004,0.000400004,0.000400076,0.000401599,0.000395126,-0.000360058,-0.001465332,-0.002562033,-0.003658499,-0.004698962,0.009382848
