x1,x2,x4,x5,x7,x9,x11,x12,x14,x15,x17,x18,x20,x21,x22,x24,x25,x27
0.036436501,0.035733315,0.026328029,0.025354729,0.031759752,0.031304265,0.012561804,0.01306296,0.000668197,0.001140203,0.006515385,0.007037579,0.024873426,0.025316357,0.014224014,0.013700899,0.020171975,0.019665275
0.037228922,0.036370058,0.02669843,0.025509782,0.032365361,0.031813901,0.012717296,0.013328704,0.000299029,0.000876169,0.006400956,0.007036634,0.025287335,0.025829342,0.014336296,0.013699719,0.020546036,0.019930791
0.038027842,0.036998428,0.027078841,0.025654281,0.032979485,0.032323536,0.012862118,0.013594387,-8.00E-05,0.000612195,0.00627588,0.007035688,0.025691391,0.026342273,0.014459296,0.013698601,0.020930026,0.020196307
0.038833166,0.037618371,0.027469185,0.02578821,0.033602038,0.032833171,0.012996284,0.013860026,-0.00046897,0.000348264,0.006140188,0.007034743,0.026085573,0.026855165,0.014592967,0.013697528,0.021323884,0.020461823
0.039644814,0.038229842,0.027869402,0.025911555,0.034232951,0.033342806,0.0131198,0.014125632,-0.000867716,8.44E-05,0.005993901,0.007033797,0.026469861,0.027368027,0.014737276,0.013696489,0.021727564,0.020727339
0.040462689,0.038832781,0.028279428,0.026024302,0.03487214,0.033852441,0.013232673,0.014391214,-0.001276233,-0.000179506,0.005837045,0.007032852,0.026844227,0.027880867,0.014892184,0.013695475,0.022141009,0.020992855
0.041286688,0.039427126,0.028699197,0.026126439,0.035519523,0.034362076,0.0133349,0.014656779,-0.001694468,-0.000443361,0.005669647,0.007031907,0.027208636,0.028393692,0.015057659,0.013694479,0.022564162,0.021258371
0.042116731,0.040012822,0.029128659,0.026217955,0.036175031,0.034871711,0.013426481,0.014922331,-0.002122381,-0.000707204,0.005491725,0.007030961,0.02756306,0.028906506,0.015233676,0.013693498,0.022996977,0.021523887
0.042952715,0.040589806,0.029567756,0.026298841,0.036838583,0.035381346,0.013507412,0.015187872,-0.002559918,-0.000971036,0.005303306,0.007030016,0.027907463,0.02941931,0.015420206,0.013692526,0.0234394,0.021789403
0.043794535,0.041158005,0.030016428,0.026369083,0.037510093,0.035890981,0.013577686,0.015453407,-0.003007025,-0.001234862,0.005104413,0.007029071,0.028241805,0.029932109,0.015617221,0.013691562,0.023891371,0.022054919
0.044642101,0.041717357,0.030474625,0.026428672,0.038189489,0.036400615,0.013637296,0.015718936,-0.003463656,-0.001498682,0.004895068,0.007028125,0.028566048,0.030444902,0.015824699,0.013690603,0.024352845,0.022320435
0.045495311,0.04226779,0.030942295,0.026477593,0.038876691,0.03691025,0.01368623,0.015984461,-0.003929762,-0.001762498,0.004675289,0.00702718,0.028880148,0.030957692,0.01604262,0.013689648,0.024823769,0.022585951
0.046354055,0.042809211,0.031419386,0.026515819,0.039571615,0.037419885,0.013724463,0.016249984,-0.004405292,-0.002026311,0.004445089,0.007026234,0.029184044,0.03147048,0.016270969,0.013688697,0.025304092,0.022851467
0.047218241,0.043341545,0.031905854,0.026543331,0.04027419,0.03792952,0.013751978,0.016515503,-0.004890205,-0.002290121,0.004204484,0.007025289,0.029477689,0.031983265,0.016509732,0.013687748,0.025793772,0.023116983
0.048087781,0.043864701,0.03240167,0.026560093,0.040984357,0.038439155,0.013768739,0.016781021,-0.005384473,-0.00255393,0.003953467,0.007024344,0.029761015,0.032496048,0.016758913,0.013686801,0.026292778,0.023382499
0.048962553,0.044378672,0.032906729,0.026566159,0.041701996,0.03894879,0.013774803,0.017046538,-0.00588799,-0.002817738,0.003692124,0.007023398,0.030034048,0.033008831,0.017018426,0.013685855,0.026801005,0.023648015
